date,symbol,open,high,low,close,volume,amount
2025-02-06,300025.SZ,8.5500,8.8500,8.4700,8.8400,27358168,237953270.00
2025-02-07,300025.SZ,8.8700,9.1000,8.7400,8.8900,28016896,249977745.00
2025-02-10,300025.SZ,9.0100,9.2800,8.9800,9.2700,27408294,250768795.00
2025-02-11,300025.SZ,9.2000,9.3400,8.9400,9.0600,29672610,269284044.00
2025-02-12,300025.SZ,9.0700,9.2300,9.0400,9.1300,19892089,181765216.00
2025-02-13,300025.SZ,9.1600,9.2000,8.9100,9.0200,22130091,200302089.00
2025-02-14,300025.SZ,9.0200,9.1200,8.8900,9.1000,20734300,187353448.00
2025-02-17,300025.SZ,9.1500,9.7800,9.1100,9.6500,41268389,392372619.00
2025-02-18,300025.SZ,9.6500,9.7500,9.0400,9.1000,31641464,297314119.00
2025-02-19,300025.SZ,9.1500,9.2500,9.0200,9.1800,20552400,187811546.00
2025-02-20,300025.SZ,9.1800,9.2400,9.0100,9.0500,18717126,170317947.00
2025-02-21,300025.SZ,9.0600,9.3200,8.8000,9.2300,28663133,259324157.00
2025-02-24,300025.SZ,9.2400,9.2600,8.9500,9.0600,25134489,227471603.00
2025-02-25,300025.SZ,8.9000,9.1700,8.8600,8.9600,20440990,184200658.00
2025-02-26,300025.SZ,9.0300,9.0900,8.7500,8.8400,27136588,240046168.00
2025-02-27,300025.SZ,8.8400,8.9300,8.5400,8.7600,23245247,203063986.00
2025-02-28,300025.SZ,8.6900,8.6900,8.3000,8.3600,21921063,185982914.00
2025-03-03,300025.SZ,8.3500,8.4500,8.1700,8.2700,13928159,115890553.00
2025-03-04,300025.SZ,8.1800,8.5400,8.1200,8.4900,14431000,121136112.00
2025-03-05,300025.SZ,8.5200,8.6100,8.4200,8.5700,13512467,115248773.00
2025-03-06,300025.SZ,8.5800,8.8000,8.5700,8.7500,18657367,162591719.00
2025-03-07,300025.SZ,8.6900,8.6900,8.4200,8.4900,16483326,140909414.00
2025-03-10,300025.SZ,8.4300,8.5600,8.3300,8.3800,12959651,109017253.00
2025-03-11,300025.SZ,8.3000,8.3400,8.2100,8.3400,13947560,115390388.00
2025-03-12,300025.SZ,8.4000,8.5900,8.3600,8.4300,15261911,129306253.00
2025-03-13,300025.SZ,8.4000,8.4300,8.0900,8.2500,16433011,134955216.00
2025-03-14,300025.SZ,8.1700,8.3200,8.1400,8.3100,13616200,112245283.00
2025-03-17,300025.SZ,8.3600,8.4100,8.2700,8.2900,13894500,115739466.00
2025-03-18,300025.SZ,8.3200,8.8000,8.1400,8.6700,37319161,313734818.00
2025-03-19,300025.SZ,8.5800,8.8500,8.5400,8.5700,32387410,280962259.00
2025-03-20,300025.SZ,8.6000,8.6400,8.3700,8.3800,18034424,152783596.00
2025-03-21,300025.SZ,8.3900,8.3900,8.1100,8.1700,14404692,118127265.00
2025-03-24,300025.SZ,8.0100,8.0600,7.3800,7.5500,33207435,252657047.00
2025-03-25,300025.SZ,7.4900,7.5200,7.2000,7.2700,17850225,130817725.00
2025-03-26,300025.SZ,7.2700,7.4300,7.2200,7.3600,11160140,82057554.00
2025-03-27,300025.SZ,7.3400,7.3400,7.1200,7.2300,11790200,85226900.00
2025-03-28,300025.SZ,7.2400,7.2900,6.8800,6.8900,19196100,135344765.00
2025-03-31,300025.SZ,6.7100,6.9400,6.4700,6.8900,24394210,162350364.00
2025-04-01,300025.SZ,7.1100,7.2100,6.9300,7.1900,20182586,142491543.00
2025-04-02,300025.SZ,7.3400,7.4900,7.1900,7.2600,19590779,143567263.00
2025-04-03,300025.SZ,7.1300,7.2300,7.0400,7.0700,12003025,85617217.00
2025-04-07,300025.SZ,6.4000,6.5900,5.7300,5.8900,24968600,152906005.00
2025-04-08,300025.SZ,6.0000,6.3800,5.9400,6.1600,18514433,114163204.00
2025-04-09,300025.SZ,6.1500,6.4000,5.6300,6.3900,16391405,99714670.00
2025-04-10,300025.SZ,6.5200,6.6600,6.4700,6.5800,14407592,94829245.00
2025-04-11,300025.SZ,6.5000,6.6100,6.4400,6.5200,10171195,66567770.00
