date,symbol,open,high,low,close,volume,amount
2025-02-06,600256.SH,5.5200,5.5600,5.4500,5.5500,48801802,299117806.00
2025-02-07,600256.SH,5.5300,5.6500,5.5300,5.6300,57772440,360090091.00
2025-02-10,600256.SH,5.6300,5.6500,5.5400,5.5800,59506127,368949494.00
2025-02-11,600256.SH,5.5800,5.6000,5.5200,5.5600,43920595,271339827.00
2025-02-12,600256.SH,5.5600,5.5700,5.4900,5.5400,39090920,240043900.00
2025-02-13,600256.SH,5.5300,5.5900,5.5100,5.5200,51707477,318989150.00
2025-02-14,600256.SH,5.5300,5.5300,5.4900,5.5000,41389031,253333485.00
2025-02-17,600256.SH,5.4900,5.5000,5.4100,5.4800,65609057,397045501.00
2025-02-18,600256.SH,5.4700,5.6700,5.4300,5.5800,105104440,652234850.00
2025-02-19,600256.SH,5.5800,5.6700,5.5300,5.5700,78215448,484526148.00
2025-02-20,600256.SH,5.5500,5.5600,5.4400,5.4700,56231876,342837251.00
2025-02-21,600256.SH,5.4700,5.5000,5.4500,5.4700,47922192,291489063.00
2025-02-24,600256.SH,5.4900,5.5200,5.4200,5.4500,73887528,448157677.00
2025-02-25,600256.SH,5.4300,5.4700,5.3800,5.4500,48964023,296142033.00
2025-02-26,600256.SH,5.4400,5.5900,5.4200,5.5400,86510782,531743241.00
2025-02-27,600256.SH,5.5600,5.5700,5.4900,5.5300,46423490,284524490.00
2025-02-28,600256.SH,5.5300,5.6200,5.5000,5.5000,79063483,488925469.00
2025-03-03,600256.SH,5.5200,5.5800,5.4800,5.4900,59302302,364014623.00
2025-03-04,600256.SH,5.4700,5.5000,5.4200,5.4900,41658320,252889988.00
2025-03-05,600256.SH,5.4800,5.5000,5.4500,5.4900,31113833,189344466.00
2025-03-06,600256.SH,5.4900,5.4900,5.4500,5.4800,45433899,276428989.00
2025-03-07,600256.SH,5.4700,5.5700,5.4600,5.5500,73116330,449565710.00
2025-03-10,600256.SH,5.5400,5.6500,5.5300,5.6500,77489581,483969664.00
2025-03-11,600256.SH,5.6200,5.6500,5.5300,5.5800,58847840,365400664.00
