date,symbol,open,high,low,close,volume,amount
2025-02-06,600429.SH,4.0400,4.0800,4.0200,4.0800,7890401,32082896.00
2025-02-07,600429.SH,4.0900,4.1900,4.0700,4.1500,12851900,53305038.00
2025-02-10,600429.SH,4.1500,4.2400,4.1500,4.2400,10036900,42210286.00
2025-02-11,600429.SH,4.2400,4.2700,4.1700,4.2200,7825800,32994771.00
2025-02-12,600429.SH,4.2100,4.2300,4.1800,4.2100,6970801,29384101.00
2025-02-13,600429.SH,4.2300,4.3900,4.2300,4.2600,14086420,60392238.00
2025-02-14,600429.SH,4.2500,4.2700,4.1900,4.2100,7064068,29890361.00
2025-02-17,600429.SH,4.2200,4.2900,4.1900,4.2800,8258501,35130701.00
2025-02-18,600429.SH,4.2700,4.2800,4.1400,4.1500,9694000,40750993.00
2025-02-19,600429.SH,4.1600,4.1700,4.1300,4.1700,7197300,29936816.00
2025-02-20,600429.SH,4.1700,4.2200,4.1400,4.2000,6129300,25749195.00
2025-02-21,600429.SH,4.2300,4.2300,4.1200,4.1600,7946312,33103174.00
2025-02-24,600429.SH,4.1700,4.2400,4.1600,4.2100,10700658,45153765.00
2025-02-25,600429.SH,4.2000,4.2300,4.1600,4.1700,6768463,28408985.00
2025-02-26,600429.SH,4.1700,4.2200,4.1700,4.2200,6452700,27175270.00
2025-02-27,600429.SH,4.2400,4.3300,4.2300,4.3100,16397393,70585545.00
2025-02-28,600429.SH,4.2900,4.3300,4.2200,4.2400,10990330,47116520.00
2025-03-03,600429.SH,4.2300,4.2700,4.1900,4.2100,10540501,44691341.00
2025-03-04,600429.SH,4.1900,4.2100,4.1700,4.2000,5455991,22923516.00
2025-03-05,600429.SH,4.2000,4.2000,4.1100,4.1600,7319300,30424302.00
2025-03-06,600429.SH,4.1800,4.1900,4.1400,4.1900,7885000,32972804.00
2025-03-07,600429.SH,4.1900,4.2000,4.1500,4.1600,5603790,23452628.00
2025-03-10,600429.SH,4.1500,4.2000,4.1500,4.1900,4938900,20674802.00
2025-03-11,600429.SH,4.1600,4.2300,4.1400,4.2200,8050402,33813789.00
2025-03-12,600429.SH,4.2300,4.2600,4.1800,4.1900,6903376,29093443.00
2025-03-13,600429.SH,4.2000,4.2400,4.1600,4.2100,8833300,37199993.00
2025-03-14,600429.SH,4.2400,4.6300,4.2400,4.6300,69800279,312819671.00
2025-03-17,600429.SH,4.6600,4.7500,4.5100,4.5600,69623899,321932014.00
2025-03-18,600429.SH,4.5600,4.5900,4.4700,4.5400,32574550,147389561.00
2025-03-19,600429.SH,4.4900,4.5500,4.4300,4.4500,21985175,98285794.00
2025-03-20,600429.SH,4.4600,4.5400,4.4100,4.4400,19938200,89213637.00
2025-03-21,600429.SH,4.4300,4.4400,4.3500,4.3800,16004301,70473090.00
2025-03-24,600429.SH,4.4000,4.4200,4.2800,4.3700,15234700,66261525.00
2025-03-25,600429.SH,4.3600,4.4400,4.3000,4.4200,23837354,104822137.00
2025-03-26,600429.SH,4.4000,4.4500,4.3300,4.4400,20261600,89656462.00
