date,symbol,open,high,low,close,volume,amount
2025-02-06,002092.SZ,4.4900,4.5300,4.4700,4.5000,12083348,54361882.00
2025-02-07,002092.SZ,4.4900,4.5900,4.4800,4.5400,16766651,76192251.00
2025-02-10,002092.SZ,4.5300,4.6600,4.5300,4.6400,18698762,86316582.00
2025-02-11,002092.SZ,4.6500,4.6600,4.5900,4.6400,14171400,65618793.00
2025-02-12,002092.SZ,4.6500,4.6500,4.5600,4.5900,17285000,79518310.00
2025-02-13,002092.SZ,4.5800,4.6200,4.5200,4.5200,15803600,72200985.00
2025-02-14,002092.SZ,4.5200,4.5400,4.4600,4.5200,15311812,68900832.00
2025-02-17,002092.SZ,4.5000,4.5400,4.4600,4.4900,16269855,73002181.00
2025-02-18,002092.SZ,4.5100,4.5200,4.4300,4.4500,16022008,71735896.00
2025-02-19,002092.SZ,4.4500,4.5100,4.4400,4.4800,12043300,53975409.00
2025-02-20,002092.SZ,4.4800,4.5100,4.4600,4.4900,10614799,47635467.00
2025-02-21,002092.SZ,4.4900,4.5100,4.4700,4.4900,13961705,62660156.00
2025-02-24,002092.SZ,4.4600,4.4900,4.4000,4.4200,21013667,93219303.00
2025-02-25,002092.SZ,4.4000,4.4800,4.3900,4.4400,14754068,65584190.00
2025-02-26,002092.SZ,4.4300,4.4900,4.4300,4.4800,11420464,51073342.00
2025-02-27,002092.SZ,4.4800,4.6400,4.4700,4.5600,26210951,119634257.00
2025-02-28,002092.SZ,4.5600,4.6000,4.4900,4.5000,14503600,65931910.00
2025-03-03,002092.SZ,4.4800,4.5700,4.4800,4.5300,11875851,53884850.00
2025-03-04,002092.SZ,4.5300,4.5500,4.4600,4.5200,11445450,51518882.00
2025-03-05,002092.SZ,4.5200,4.5400,4.4700,4.5400,8770800,39530474.00
2025-03-06,002092.SZ,4.5200,4.5600,4.5200,4.5500,12744600,57874639.00
2025-03-07,002092.SZ,4.5300,4.5800,4.5200,4.5400,14629681,66540116.00
2025-03-10,002092.SZ,4.5300,4.5500,4.4900,4.5000,13622015,61511148.00
2025-03-11,002092.SZ,4.4800,4.5300,4.4600,4.5300,13481700,60533458.00
