date,symbol,open,high,low,close,volume,amount
2025-02-06,688058.SH,32.8000,35.4700,31.5000,35.4700,6101122,202609424.00
2025-02-07,688058.SH,35.0000,39.5000,34.0600,37.0100,8897384,330318537.00
2025-02-10,688058.SH,36.8000,41.8400,34.1800,41.5000,8081857,308414899.00
2025-02-11,688058.SH,39.0400,40.1000,37.3000,37.3000,7029429,269847197.00
2025-02-12,688058.SH,36.4800,37.5800,36.4100,36.7500,4413750,162886240.00
2025-02-13,688058.SH,36.5100,37.9100,35.1100,36.6000,5111547,185971572.00
2025-02-14,688058.SH,36.6000,39.5800,35.8000,38.2500,6424501,241887193.00
2025-02-17,688058.SH,38.3300,38.3300,35.9000,36.3600,4344845,160040306.00
2025-02-18,688058.SH,35.9000,36.4400,33.6200,33.6800,4006377,139430101.00
2025-02-19,688058.SH,33.9300,34.6000,33.5000,34.5200,3129825,107160752.00
2025-02-20,688058.SH,34.3300,34.9000,34.0800,34.5100,2378677,81851585.00
2025-02-21,688058.SH,34.4500,36.1500,33.6800,35.9600,4460342,156932743.00
2025-02-24,688058.SH,36.1500,36.1500,34.1800,35.1900,3272203,114631085.00
2025-02-25,688058.SH,34.2100,35.6800,34.1000,35.1100,2642561,92873733.00
2025-02-26,688058.SH,35.3800,35.9700,34.7400,35.4200,2844944,100530456.00
2025-02-27,688058.SH,35.3700,36.3000,34.9700,35.8400,3562565,127030512.00
2025-02-28,688058.SH,35.1700,35.5000,32.0400,32.0700,3713825,124138239.00
2025-03-03,688058.SH,33.0000,34.3800,32.2700,33.2500,2735964,91545103.00
2025-03-04,688058.SH,32.8500,34.2000,32.5200,33.9800,1609869,54312567.00
2025-03-05,688058.SH,33.9800,34.2100,33.0000,33.8400,1628238,54523740.00
2025-03-06,688058.SH,34.4500,37.2600,34.1100,36.3300,4242617,152892032.00
2025-03-07,688058.SH,36.3900,36.9000,34.7900,35.1800,3509694,125525516.00
2025-03-10,688058.SH,34.3800,35.3300,33.9200,34.4500,2524292,87113764.00
2025-03-11,688058.SH,33.8200,34.5800,33.6900,34.3100,1837054,62589623.00
2025-03-12,688058.SH,34.6200,34.9300,34.1500,34.3400,1802190,62260800.00
2025-03-13,688058.SH,34.2700,34.2700,32.3400,33.0100,2100061,69378655.00
2025-03-14,688058.SH,33.6000,33.6100,32.4000,33.2900,1351617,44778879.00
2025-03-17,688058.SH,33.5500,33.5700,32.9100,33.3600,1025422,34147628.00
2025-03-18,688058.SH,33.5000,33.8800,32.7700,32.9000,1355303,45027212.00
2025-03-19,688058.SH,32.8900,32.8900,31.8800,32.0500,1264695,40778076.00
2025-03-20,688058.SH,32.0700,32.5900,31.5800,31.7100,1074258,34511849.00
2025-03-21,688058.SH,31.6100,32.1100,30.9100,31.5900,1680595,52954416.00
2025-03-24,688058.SH,31.4200,31.5900,29.3200,30.2000,1621133,49367736.00
2025-03-25,688058.SH,30.2100,30.6000,29.6800,30.0000,876787,26355552.00
2025-03-26,688058.SH,29.9900,30.5300,29.9000,30.1800,900787,27194369.00
2025-03-27,688058.SH,30.0600,30.4900,29.4000,29.7300,1078216,32235647.00
2025-03-28,688058.SH,29.6600,30.1000,29.2100,29.3500,827717,24453168.00
2025-03-31,688058.SH,29.2800,29.5200,28.5400,29.3000,821485,23796976.00
2025-04-01,688058.SH,29.6600,30.6200,29.3500,29.6500,1141907,34205946.00
2025-04-02,688058.SH,29.8500,30.4800,29.3500,29.9800,959151,28852288.00
2025-04-03,688058.SH,29.6900,30.2800,29.3900,29.6000,789300,23486436.00
2025-04-07,688058.SH,27.5500,27.9700,23.6800,23.6800,2110347,53128246.00
2025-04-08,688058.SH,24.4700,25.3900,23.4700,24.9600,1477865,36299564.00
2025-04-09,688058.SH,24.2500,26.6500,23.0000,26.2800,2171887,55017217.00
2025-04-10,688058.SH,26.6000,28.1000,26.6000,27.2900,1583174,43776974.00
2025-04-11,688058.SH,27.1700,28.0500,27.0000,27.5000,1152078,31805075.00
2025-04-14,688058.SH,28.0000,28.3800,27.3800,27.4800,1038479,28860386.00
2025-04-15,688058.SH,27.6600,28.2900,27.2400,27.8800,1138771,31602031.00
2025-04-16,688058.SH,27.9600,28.0600,26.4300,27.1300,1208890,32918298.00
2025-04-17,688058.SH,26.7600,27.8600,26.7600,27.2200,776234,21305236.00
2025-04-18,688058.SH,27.2200,27.4900,26.5000,26.8000,726745,19523072.00
2025-04-21,688058.SH,26.5700,28.0800,26.3200,27.9100,1158919,31913436.00
2025-04-22,688058.SH,28.0400,28.8000,27.7600,28.1300,1341666,37930057.00
2025-04-23,688058.SH,28.1500,28.7700,27.6000,27.9100,1173918,32985071.00
2025-04-24,688058.SH,27.0000,27.6800,26.4000,26.7200,1440378,38852517.00
2025-04-25,688058.SH,26.0900,26.4800,25.3000,26.1700,1483717,38740694.00
2025-04-28,688058.SH,26.1800,26.8000,25.7500,26.0000,961061,25050013.00
2025-04-29,688058.SH,25.7500,26.9200,25.4700,26.5500,1096366,29040348.00
2025-04-30,688058.SH,26.5600,28.0500,26.2500,27.8400,1194246,33087964.00
2025-05-06,688058.SH,27.9000,29.0000,27.9000,28.6700,1643803,46963564.00
2025-05-07,688058.SH,29.0300,29.3100,28.3000,28.6500,1492942,42984597.00
2025-05-08,688058.SH,28.5000,29.2200,28.5000,29.1000,1229729,35627552.00
2025-05-09,688058.SH,29.1000,29.2200,28.1800,28.2200,979919,27950082.00
2025-05-12,688058.SH,28.9200,29.1000,28.3600,28.8100,996136,28657320.00
2025-05-13,688058.SH,29.1900,29.2300,28.3600,28.4800,958189,27525061.00
