date,symbol,open,high,low,close,volume,amount
2025-02-06,000905.SZ,6.8700,6.8800,6.6800,6.8300,23765909,163823319.00
2025-02-07,000905.SZ,6.7900,6.9400,6.7700,6.8700,23991200,167726737.00
2025-02-10,000905.SZ,6.8500,6.9400,6.8000,6.8900,20561917,143572740.00
2025-02-11,000905.SZ,6.8700,7.1300,6.7900,7.1100,40806798,291650491.00
2025-02-12,000905.SZ,7.1000,7.1000,6.9500,7.0100,23204700,165413587.00
2025-02-13,000905.SZ,7.0000,7.0600,6.9200,6.9600,16222000,115298844.00
2025-02-14,000905.SZ,6.9100,6.9300,6.8000,6.8300,18028553,125749464.00
2025-02-17,000905.SZ,6.8300,6.9000,6.7300,6.8500,15799176,109471954.00
2025-02-18,000905.SZ,6.8400,6.8600,6.6300,6.6400,18601545,127752575.00
2025-02-19,000905.SZ,6.6200,6.6700,6.6100,6.6500,13504931,91326278.00
2025-02-20,000905.SZ,6.6500,6.7200,6.5900,6.7100,12539901,85159447.00
2025-02-21,000905.SZ,6.6700,6.7800,6.6500,6.6700,12158937,83029492.00
2025-02-24,000905.SZ,6.6800,6.7700,6.6500,6.7100,11254038,77004835.00
2025-02-25,000905.SZ,6.7000,6.7700,6.6300,6.6400,9764884,66530914.00
2025-02-26,000905.SZ,6.6300,6.7100,6.6300,6.6800,11249670,76446259.00
2025-02-27,000905.SZ,6.6700,6.7500,6.6500,6.7400,13309200,91027417.00
2025-02-28,000905.SZ,6.7600,7.0100,6.7300,6.8200,30873316,216946740.00
2025-03-03,000905.SZ,6.8000,6.9400,6.7900,6.8900,17491400,122513021.00
2025-03-04,000905.SZ,6.9000,7.0000,6.8100,6.9600,17301368,122185207.00
2025-03-05,000905.SZ,6.9500,7.0600,6.8500,7.0200,17960500,127223686.00
2025-03-06,000905.SZ,7.0200,7.2000,6.9800,7.1300,27538718,199451854.00
2025-03-07,000905.SZ,7.0900,7.2000,6.9800,7.0400,20182502,145727593.00
2025-03-10,000905.SZ,7.2500,7.7400,7.2500,7.7400,44581911,344676863.00
2025-03-18,000905.SZ,8.5200,8.5200,8.5200,8.5200,2649100,22994188.00
2025-03-19,000905.SZ,9.3700,9.3700,8.4400,8.4400,172445877,1606509844.00
2025-03-20,000905.SZ,8.2400,8.3400,7.8400,7.9000,98467963,804571171.00
2025-03-21,000905.SZ,7.9800,8.0800,7.7800,7.8000,63491853,512137924.00
2025-03-24,000905.SZ,7.8500,7.9300,7.6100,7.7700,44825207,353812567.00
2025-03-25,000905.SZ,7.7600,7.7700,7.5400,7.5900,30348306,235265990.00
2025-03-26,000905.SZ,7.6100,7.7000,7.5600,7.6200,27262801,211710349.00
2025-03-27,000905.SZ,7.5700,7.6800,7.4400,7.5300,23384178,179566639.00
2025-03-28,000905.SZ,7.5400,7.5700,7.3800,7.4000,18517501,140573889.00
2025-03-31,000905.SZ,7.3600,7.4400,7.2600,7.4200,16873640,126584346.00
2025-04-01,000905.SZ,7.4200,7.6300,7.4200,7.5800,23176900,178284339.00
2025-04-02,000905.SZ,7.5800,7.9800,7.5200,7.9400,56212827,446689835.00
2025-04-03,000905.SZ,7.7300,7.8700,7.6700,7.8100,33486349,265141222.00
2025-04-07,000905.SZ,7.2200,7.3900,7.0300,7.0300,24520150,178146374.00
2025-04-08,000905.SZ,6.8600,7.0900,6.6800,6.8500,32570756,227398737.00
2025-04-09,000905.SZ,6.7700,7.5400,6.3400,7.5400,51490738,368091819.00
2025-04-10,000905.SZ,7.5300,8.2900,7.4100,7.9200,92520870,753913696.00
2025-04-11,000905.SZ,7.8800,8.0700,7.6600,7.6900,65666115,523546678.00
2025-04-14,000905.SZ,7.8300,8.0500,7.7500,7.8500,54478022,438675504.00
