date,symbol,open,high,low,close,volume,amount
2025-02-06,920694.BJ,11.3300,11.7600,11.2600,11.7600,776909,11975448.00
2025-02-07,920694.BJ,11.8000,12.3800,11.6700,12.0800,1535092,24706500.00
2025-02-10,920694.BJ,12.2100,12.2400,11.9700,12.1900,787536,12781721.00
2025-02-11,920694.BJ,12.2400,12.5800,12.1100,12.3500,1391306,23030922.00
2025-02-12,920694.BJ,12.4700,12.4700,12.1800,12.3500,932524,15403997.00
2025-02-13,920694.BJ,12.4400,12.5400,11.9400,11.9400,1096723,18024948.00
2025-02-14,920694.BJ,11.8700,11.9800,11.7500,11.8800,583009,9267925.00
2025-02-17,920694.BJ,11.8600,12.4200,11.8300,12.2600,875953,14260980.00
2025-02-18,920694.BJ,12.2400,12.3200,11.7300,11.7900,664487,10710361.00
2025-02-19,920694.BJ,11.7600,12.1100,11.7200,12.0600,691003,11014254.00
2025-02-20,920694.BJ,12.0200,13.2800,11.9800,12.8200,2199002,37388776.00
2025-02-21,920694.BJ,12.6200,13.1300,12.5900,12.7900,1309165,22489744.00
2025-02-24,920694.BJ,12.6600,13.3500,12.6200,13.1300,1334230,23184824.00
2025-02-25,920694.BJ,13.0100,13.0100,12.7200,12.8000,882024,15169482.00
2025-02-26,920694.BJ,12.8700,13.0300,12.7300,12.7900,896988,15464890.00
2025-02-27,920694.BJ,12.7000,13.0200,12.6900,12.9500,980610,16847997.00
2025-02-28,920694.BJ,13.1400,13.6900,12.8400,13.0300,1954751,34729678.00
2025-03-03,920694.BJ,13.0900,13.5000,12.7700,13.4400,1696588,30111741.00
2025-03-04,920694.BJ,13.4100,13.8700,13.2500,13.8000,1751827,32140242.00
2025-03-05,920694.BJ,13.8100,14.0300,13.4400,13.9300,2061579,38199765.00
2025-03-06,920694.BJ,14.0200,14.1000,13.3600,13.8100,1940955,35600755.00
2025-03-07,920694.BJ,13.6900,14.1300,13.6600,13.8200,1657123,30906998.00
2025-03-10,920694.BJ,13.9400,14.5600,13.8200,14.5600,1852893,35278680.00
2025-03-11,920694.BJ,14.7700,15.2000,14.2600,14.6000,2211424,43251724.00
2025-03-12,920694.BJ,14.5300,15.0400,14.3400,14.6300,1894639,37316495.00
2025-03-13,920694.BJ,14.4700,15.3900,13.9600,15.1900,2644829,51850497.00
2025-03-14,920694.BJ,15.4600,16.2700,15.0200,16.0500,3309630,68957127.00
2025-03-17,920694.BJ,16.2000,16.9400,16.0800,16.8800,3366609,74289392.00
2025-03-18,920694.BJ,16.8800,16.8800,16.2000,16.2700,2230112,49105828.00
2025-03-19,920694.BJ,16.5800,17.4300,14.8500,15.3600,3453956,75076300.00
2025-03-20,920694.BJ,15.5100,15.7200,14.9400,14.9400,2211357,45450181.00
